序号,单元,单元名称,小标题,习题,来源,习题描述,答案,答案验证,题型,知识点1,知识点2,考点,日期,流程,备注,
80,第二十章,,,,课本例题P217,计算$\int_Lxydx + (y-x)dy$，其中L分别沿(1)直线AB，(2)ACB：抛物线$y=2(x-1)^2+1$，(3)ADBA：三角形周界,(1)$\frac{25}{6}$;(2)$\frac{10}{3}$;(3)$-\frac{8}{3}$,课本,计算题,第二曲线积分,,,20210512,,鸣笛日,
81,第二十章,,,,课本例题P218,"计算$\int_Lxdy+ydx$，这里L(1)沿抛物线$y=2x^2,x \in [0,1]$；(2)直线OB：$y=2x,x \in [0,1]$; (3)封闭曲线OABO",(1)2;(2)2;(3)0,课本,计算题,第二曲线积分,,,20210512,,,
82,第二十章,,,,课本例题P219,"计算第二型曲线积分$I=\int_Lxydx+(x-y)dy+x^2dz$，L是螺旋线：$x=acost,y=asint,z=bt,t \in [0,\pi]$",$\frac{\pi a^{2} \left(b + 1\right)}{2}$,课本,计算题,第二曲线积分,,,20210514,,,
87,第二十章,,,,课本例题P238,计算$\int_{AB} xdy$，其中曲线AB为半径为r在圆第一象限部分,$-\frac{1}{4}\pi r^2$,课本,计算题,曲线积分与格林公式,,,20210516,,,
41,第九章,,,,课本例题P205,"求在区间[0,1]上，以抛物线$y=x^2$为去曲边的曲边三角形的面积",![](.\华东数学分析\images\定积分1.jpg),课本,计算,定积分的定义,,,20210221,,,
42,第九章,,,,课本例题P207,"利用牛顿莱布尼茨求解定积分
（1）$\int_a^b x^ndx，n为整数$
（2）$\int_a^be^xdx$
（3）$\int_a^b\frac{dx}{x^2}$
（4）$\int_0^{\pi}sinxdx$
（5）$\int_0^2\sqrt{4-x^2}dx$","（1）$\int_a^b x^ndx = \frac{x^{n+1}}{n+1}|_a^b =  \frac{b^{n+1}}{n+1} -  \frac{a^{n+1}}{n+1}$
（2）$\int_a^be^xdx = e^x|_a^b = e^b - e^a$
（3）$\int_a^b\frac{dx}{x^2}=-x^{-1}|_a^b = -\frac{1}{b} + \frac{1}{a}$
（4）$\int_0^{\pi}sinxdx = -cosx|_0^{\pi} = -(-1-1)=2$
（5）$\int_0^2\sqrt{4-x^2}dx = \frac{8}{3}$",课本,计算,牛顿莱布尼茨公式,,,20210224,,,
43,第九章,,,,课本例题P208,"利用定积分求极限
$\lim_{n \to \infty}(\frac{1}{n+1}+\frac{1}{n+2}+...+\frac{1}{2n})$","转换为积分和的形式$J = lim_{n \to \infty}\sum_{i=1}^n\frac{1}{1+\frac{i}{n}}\frac{1}{n}$
可以看做函数$f(x)=\frac{1}{1+x}$在区间[0,1]上的积分和，使用等分分割$\Delta x_i=\frac{1}{n}$，
故$J = \int_0^1\frac{1}{1+x}dx = ln(1+x)|_0^1 = ln2$",课本,计算,积分与极限的转换,,,20210224,,,
44,第九章,,,,课本例题P213,"证明函数$f(x) = \begin{cases}0,&x=0\\\frac{1}{n},&\frac{1}{n+1} \leq x \leq \frac{1}{n}\end{cases}$在区间[0,1]可积","证明：
任取$\epsilon>0$，由于$lim_{n \to \infty}\frac{1}{n}=0$，因此存在N，当n>N时，有$\frac{1}{n}<\frac{\epsilon}{2}$
说明函数f(x)在$[\frac{\epsilon}{2},1]$上有有限个间断点，函数有界且间断点有限则可积，存在分割T’，使得$\sum_{T'}w_i\Delta x_i<\frac{\epsilon}{2}$
f在小区间上的振幅$w_0<1$，所以$w_0\Delta x_0 = w_0*\frac{\epsilon}{2}$
把小区间$[0,\frac{\epsilon}{2}]$上与T‘合并，使其称为[0,1]上的分割T，得到
$\sum_T = w_0*\Delta x_0 + \sum_{T'}w_i\Delta x_i <\epsilon$",课本,计算,可积证明,,,20210225,,,
45,第九章,,,,课本例题P213,"证明黎曼函数$f(x)=\begin{cases}\frac{1}{q},&x=\frac{p}{q}<1,pq互素\\0,&x=0，1,无理数\end{cases}$在区间[0,1]有积，且$\int_0^1f(x)dx=0$",暂放,课本,计算,可积证明，看着答案抄都抄不明白,,,20210225,,,
46,第九章,,,,课本例题P219,"求$\int_{-1}^1f(x)dx$，
其中$f(x)=\begin{cases}2x-1,&-1\leq x\leq 0\\e^{-x},&0 \leq x \leq 1\end{cases}$",![](.\华东数学分析\images\定积分3.jpg),课本,计算,可积证明,,,20210225,,,
47,第九章,,,,课本例题P219,"证明：若f在[a,b]上连续，且$f(x) \geq 0$，$\int_a^b f(x)dx=0$，则$f(x)==0,x \in [a,b]$","证明：反正法
若有某$x_0 \in [a,b]$，使得$f(x_0)>0$，则由连续函数的局部保号性，存在$x_0$的某领域$(x-\delta,x+\delta)$使其满足$f(x)>\frac{f(x_0)}{2}>0$
则$\int_a^b f(x)dx=\int_a^{x_0-\delta} f(x)dx + \int_{x_0-\delta}^{x_0+\delta} f(x)dx + \int_{x_0+\delta}^b f(x)dx \geq 0 + f(x_0)\delta + 0 >0$
这与假设矛盾，故$f(x)==0,x \in [a,b]$",课本,计算,证明题,,,20210225,,,
48,第九章,,,,课本例题P221,"求$f(x)=sinx$在$[0,\pi]$上的平均值",![](.\华东数学分析\images\定积分4.jpg),课本,计算,积分的性质,,,20210225,,,
49,第九章,,,,课本例题P221,"设f在[0,1]上连续，求$lim_{n \to \infty}\int_a^bf(\sqrt[n]{x})dx$",,课本,计算,积分的极限,,,20210228,,,
96,第十八章,,,,课本例题P159,"设方程$F(x,y)=y-x-\frac{1}{2}siny=0$，由于F及其偏导数$F_x,F_y$在平面上任一点都连续，且$F(0,0)=0, F_y(x,y)=1-\frac{1}{2}cosy > 0$
求连续可导隐函数$y=f(x)$的导数",$y'=f'(x)=-\frac{F_x}{F_y} = \frac{1}{1 - 0.5 \cos{\left(y \right)}} = \frac{2}{2-cos(y)}$,课本,计算题,,隐函数偏导,,20210524,,,
97,第十八章,,,,课本例题P160,笛卡尔叶形线$x^3+y^3-3axy=0$所确定的隐函数$y=f(x)$的一阶、二阶导数，并求隐函数的极值,"最值点为$(\sqrt[3]{2}a,\sqrt[3]{4}a)$",课本,计算题,,隐函数偏导,,20210525,,,
98,第十八章,,,,课本例题P161,"求由方程$F(x,y,z)=xyz^3+x^2+y^3-z=0$在原点附近所确定的二元隐函数$z=f(x,y)$的偏导数及在(0,1,1)处的全微分","全微分$dz|_{(0,1,1)} = f_xdx+ f_ydy|_{(0,1,1)} = 1dx+3dy$",课本,计算题,,隐函数偏导,,20210525,,,
1,第十二章,,,,课本例题P2例1,讨论数项级数$\frac{1}{1*2}+\frac{1}{2*3}+...+\frac{1}{n*(n+1)}_...$的敛散性,收敛为1,课本,判断敛散,,考察级数值为部分和的极限,,20201213,,,
2,第十二章,,,,课本例题P3例2,证明：调和级数$1+\frac{1}{2}+\frac{1}{3}+...+\frac{1}{n}+...$是发散的,发散,课本,判断敛散,,柯西准则,,20201213,,,
3,第十二章,,,,课本例题P4,讨论数项级数$\sum \frac{(n+\frac{1}{n})^n}{n^{n+\frac{1}{n}}}$的敛散性,"$lim_{n \to \infty}u_n=1$不等于0,发散",课本,判断敛散,,柯西准则推论：$limu_n=0$,,20201213,,,
4,第十二章,,,,课本例题P4,使用柯西准则证明级数$\sum\frac{1}{n^2}$收敛,N=[$\frac{1}{\epsilon}$],课本,判断敛散,,$sum \frac{1}{n(n+1)}$可以拆开,,20201213,,,
5,第十二章,,,,课本例题P5,判别级数$\frac{1}{\sqrt{2}-1}-\frac{1}{\sqrt{2}+1}+\frac{1}{\sqrt{3}-1}+\frac{1}{\sqrt{3}+1}+...$的敛散性,发散,课本,判断敛散,,考察$\sumcu_n = c\sumu_n$,,20201213,,,
6,第十二章,,,,课本例题P7,考察$\sum \frac{1}{n^2-n+1}$的敛散性,收敛,课本,正项级数判断敛散,,比较原则1,,20201213,,,
7,第十二章,,,,课本例题P8,证明级数$\sum \frac{1}{2^n-n}$收敛,收敛,课本,正项级数判断敛散,,比较原则2；等比级数,,20201213,,,
8,第十二章,,,,课本例题P8,证明：级数$\sum sin\frac{1}{n} = sin1 + sin\frac{1}{2}+...+sin\frac{1}{n}+...$发散,发散,课本,正项级数判断敛散,,比较原则2；调和级数,,20201213,,,
9,第十二章,,,,裴礼文P437,计算$\frac{1}{2} + \frac{3}{2^2} + \frac{5}{2^3} +... + \frac{2n-1}{2^n}+...$,3,裴礼文,计算,,等比级数求和公式,,20201217,,,
10,第十二章,,,,裴礼文P438,计算$\sum_{n=1}^{\infty}ne^{-nx}$,,——,计算,,指数求和,,20201217,,,
11,第十二章,,,,裴礼文P438,设0<x<1，求级数$\sum_{n=0}^{\infty}\frac{x^{2^n}}{1-x^{2^{n+1}}}$,,裴礼文,计算,,看上去好复杂啊，看着答案都不会,,20201217,,,
12,第十二章,,,,裴礼文P438,求$\sum_{k=1}^{\infty}arctan\frac{1}{2k^2}$,,——,计算,,,,20201217,,,
13,第十二章,,,,裴礼文P438,求$\sum_{k=2}^{\infty}arctan \frac{2}{4k^2-4k+1}$,,——,计算,,,,20201217,,,
14,第十二章,,,,裴礼文P439,计算$\sum_{n=1}^{\infty}(\sqrt{n}-2\sqrt{n+1}+\sqrt{n+2})$,1-\sqrt{2},裴礼文,计算,,根号消去法的使用,,20201217,,,
15,第十二章,,,,裴礼文P439,计算$\sum_{n=1}^{\infty}\frac{1}{n(n+1)(n+2)}$,,——,计算,,使用公式：$\frac{2}{n(n+1)(n+2)} = \frac{1}{n(n+1)}-\frac{1}{(n+1)(n+2)}$,,20201217,,,
16,第十二章,,,,裴礼文P439,计算$qcosa+q^2cos2a+...+q^ncosna+...$，其中|q|<1,,裴礼文,计算,,,,20201219,,,
17,第十二章,,,,裴礼文P443,设$a_n>0$，$\sum_{n=1}^{\infty}a_n=\infty$，$S_n = a_1+a_2+...+a_n$，证明$\sum_{n=1}^{\infty} \frac{a_n}{S_n}$发散,发散，1/2,裴礼文,判断敛散,,柯西准则,,20201219,,,
18,第十二章,,,,裴礼文P444,"如果$\lim a_{n+1} = 0$，$lim_{n \to \infty} (a_{n+1} + a_{n+2}) = 0$,...,$lim_{n \to \infty} (a_{n+1} + a_{n+2}+...a_{n+p}) = 0$，试问级数$\sum_{n=1}^{\infty}a_n$是否一定收敛？",不一定,裴礼文,调和级数,,调和级数的作用：反例的存在,,20201219,,,
19,第十二章,,,,裴礼文P444,"级数$\sum_{n=1}^{\infty}a_n$收敛的充要条件是：对任意正整数$p_1,p_2,...p_k,...$及自然数的任意子序列$\{n_k\}$皆有$\lim_{k \to \infty}(a_{n_k+1}+a_{n_k+2}+...+a_{n_k+p_k})=0$",证明,裴礼文,柯西准则,,柯西准则,,20201219,,,
58,第十三章,,,,课本例题P28,"设$f_n(x)=x^n,n=1,2,...$为定义在$(-\infty,\infty)$上的函数列，证明它的收敛域为(-1,1)，且有极限函数f(x)=1,|x|<1,else=0",![](.\华东数学分析\images\函数项1.png),课本,计算,,函数列收敛,,20210413,,,
59,第十三章,,,,课本例题P29,"求$f_n(x)=\frac{sinnx}{n}$在$(-\infty,\infty)$ 的收敛域与收敛函数",![](.\华东数学分析\images\函数项2.png),课本,计算,,函数列收敛,,20210413,,,
60,第十三章,,,,课本例题P30,"x^n$}在(0,1)上不一致收敛",![](.\华东数学分析\images\函数项3.png),课本,计算,,不一致收敛,,20210413,,,
61,第十三章,,,,课本例题P32,"设$f_n(x)=nxe^{-nx^2},x\in(0,+\infty)$，判断{f_n}在D上的一致收敛性",![](.\华东数学分析\images\函数项4.png),课本,计算,,不一致收敛,,20210413,,,
62,第十三章,,,,课本例题P33,几何级数敛散性,![](.\华东数学分析\images\函数项5.png),课本,计算,,函数项级数收敛,,20210413,,,
63,第十三章,,,,课本例题P35,"证明$\sum \frac{sinnx}{n^2}$在($-\infty,\infty$)敛散性",![](.\华东数学分析\images\函数项6.png),课本,计算,,M判别法,,20210414,,,
64,第十三章,,,,课本例题P36,函数项级数$\sum \frac{(-1)^n(x+n)^n}{n^{n+1}}$的敛散性,![](.\华东数学分析\images\函数项7.png),课本,计算,,阿贝尔,,20210414,,,
65,第十三章,,,,课本例题P36,"若数列{$a_n$}单调且收敛于0，则级数$\sum a_n cosnx$在[a,2pi-a]$(0<a<\pi)$上一致收敛",coskx求和出不来,课本,计算,,阿贝尔,,20210414,,,
66,第十四章,,,,课本例题P49,幂级数$\sum \frac{1}{n^2}x^n$的收敛半径与收敛区间,![](.\华东数学分析\images\幂级数1.png),课本,计算,,收敛半径,,20210418,,,
67,第十四章,,,,课本例题P49,幂级数$\sum \frac{1}{n}x^n$的收敛半径与收敛区间,![](.\华东数学分析\images\幂级数2.png),课本,计算,,收敛半径,,20210418,,,
68,第十四章,,,,课本例题P50,$\sum (\frac{x^{2n-1}}{3^{2n-1}}+\frac{x^{2n}}{2^{2n}})$收敛区间,![](.\华东数学分析\images\幂级数3.png),课本,计算,,收敛半径,,20210418,,,
69,第十四章,,,,课本例题P50,$\sum \frac{x^{2n}}{n-3^{2n}}$的收敛域,![](.\华东数学分析\images\幂级数4.png),课本,计算,,收敛半径,,20210418,,,
70,第十四章,,,,课本例题P50,$\sum \frac{(x-1)^n}{2^nn}$的收敛域,![](.\华东数学分析\images\幂级数5.png),课本,计算,,收敛半径,,20210418,,,
71,第十四章,,,,课本例题P53,几何级数的逐项求导与求积,![](.\华东数学分析\images\幂级数6.png),课本,计算,,逐项求导、求积,,20210427,,,
72,第十四章,,,,课本例题P54,求$\sum (-1)^{n-1}n^2x^n$的和函数,![](.\华东数学分析\images\幂级数7.png),课本,计算,,级数和,,20210427,,,
73,第十四章,,,,课本例题P58,求$f(x)=e^x$的展开式,![](.\华东数学分析\images\幂级数8.png),课本,计算,,泰勒展开式,,20210427,,,
74,第十四章,,,,课本例题P61,求$f(x)=(1+X)^{\alpha}$的展开式,![](.\华东数学分析\images\幂级数9.png),课本,计算,,泰勒展开式,,20210427,,,
50,第十一章,,,,课本例题P273,无穷积分$\int_a^{+\infty}\frac{1}{x^p}dx$的敛散性,![](.\华东数学分析\images\反常积分1.png),课本,计算,,无穷积分,,20210327,,,
51,第十一章,,,,课本例题P273,无穷积分$\int_2^{+\infty}\frac{1}{x(lnx)^p}dx$的敛散性,![](.\华东数学分析\images\反常积分2.png),课本,计算,,无穷积分,,20210327,,,
52,第十一章,,,,课本例题P273,无穷积分$\int_{-\infty}^{+\infty}\frac{1}{1+x^2}dx$的敛散性,![](.\华东数学分析\images\反常积分3.png),课本,计算,,无穷积分,,20210327,,,
53,第十一章,,,,课本例题P275,求瑕积分$\int_0^1\frac{1}{\sqrt{1-x^2}}dx$,![](.\华东数学分析\images\反常积分4.png),课本,计算,,瑕积分,,20210327,,,
54,第十一章,,,,课本例题P273,求瑕积分$\int_0^1\frac{1}{x^q}dx$,![](.\华东数学分析\images\反常积分5.png),课本,计算,,瑕积分,,20210327,,,
55,第十一章,,,,课本例题P279,讨论$\int_0^{+\infty}\frac{sinx}{1+x^2}dx$的收敛性,![](.\华东数学分析\images\反常积分6.png),课本,计算,,反常积分收敛,,20210328,,,
56,第十一章,,,,课本例题P281,"$\int_1^{+\infty}\frac{sinx}{x^p}dx, p>0$的敛散性",![](.\华东数学分析\images\反常积分9.png),课本,计算,,狄利克雷判别法,,20210330,,,
57,第十一章,,,,课本例题P285,判断瑕积分$\int_0^1\frac{lnx}{\sqrt{x}}dx$的收敛性,![](.\华东数学分析\images\反常积分10.png),课本,计算,,瑕积分的柯西判别法,,20210330,,,
20,第五章,,,,课本例题P92,"求函数$f(x)=x^2$在点x=1处的导数，并求曲线在点(1,1)处的切线方程",![](.\华东数学分析\images\导数与微分1.jpg),课本,计算,,导数原理,,20201227,,,
21,第五章,,,,课本例题P92,证明函数$f(x)=|x|$在点$x_0=0$处不可导,![](.\华东数学分析\images\导数与微分2.jpg),课本,计算,,不可导,,20201227,,,
22,第五章,,,,课本例题P93,证明函数$f(x)=x^2D(x)$仅在点$x_0=0$处可导，其中$D(x)$为狄利克雷函数,狄利克雷函数是一个处处不连续的可测函数，当$x_0 \neq 0$时，函数f处处不连续，故不可导；当$x_0=0$时f(x)=0，$f'(0)=lim_{x \to 0}\frac{f(x)-f(0)}{x-0}=lim_{x \to 0}xD(x)=0$,课本,证明,,连续与可导与狄利克雷函数,,20201227,,,
23,第五章,,,,课本例题P93,"设$f(x) =\begin{cases}1-cosx,  & \text{x>=0} \\x, & \text{x<0}\end{cases}$，求f(x)在x=0处的左右导数与导数",![](.\华东数学分析\images\导数与微分2.jpg),课本,计算,,左右导数,,20201227,,,
24,第五章,,,,课本例题P96,"求曲线$y=x^3$在P$(x_0,y_0)$处的切线方程与法线方程",![](.\华东数学分析\images\导数与微分3.jpg),课本,计算,,切线与法线,,20201227,,,
25,第五章,,,,课本例题P97,"证明若$f'_+(x_0)>0$，则存在$\delta >0$，对任何$x \in (x_0,x_0+\delta)$，有$f(x_0)<f(x)$",![](.\华东数学分析\images\导数与微分4.jpg),课本,证明,,极限的保号性,,20201227,,,
26,第五章,,,,课本例题P99,设$f(x)=x^3+5x^2-9x+\pi$，求$f'(x)$,$f'(x) = 3x^2+10x-9$,课本,计算,,加法运算的导数,,20201227,,,
27,第五章,,,,课本例题P99,设$y=cosxlnx$，求$y'|_{x=\pi}$,$y'|_{x=\pi} = \frac{-1}{\pi}$,课本,计算,,乘法运算的导数,,20201227,,,
28,第五章,,,,课本例题P100,"证明$(x^{-n})' = -nx^{-n-1}$,其中n为正整数",![](.\华东数学分析\images\导数与微分5.jpg),课本,计算,,除法运算的导数,,20201227,,,
29,第五章,,,,课本例题P103,设$y=sinx^2$，求y',![](.\华东数学分析\images\导数与微分6.jpg),课本,计算,,复合函数的导数,,20201227,,,
30,第五章,,,,课本例题P103,求$f(x)=ln(x+\sqrt{1+x^2})$的导函数,![](.\华东数学分析\images\导数与微分7.jpg),课本,计算,,复合函数的导数,,20201227,,,
31,第五章,,,,课本例题P104,求$f(x)=tan^2\frac{1}{x}$的导数,![](.\华东数学分析\images\导数与微分8.jpg),课本,计算,,复合函数的导数,,20201227,,,
32,第五章,,,,课本例题P104,"设$y= \frac{(x+5)^2(x-4)^{\frac{1}{3}}}{(x+2)^5(x+4)^{\frac{1}{2}}}(x>4)$,求y'",![](.\华东数学分析\images\导数与微分9.jpg),课本,计算,,对数求导法,,20201227,,,
,第三章,函数极限,3.1、函数极限的概念,例1,课本例题,证明$lim_{x \to \infty}\frac{1}{x}=0$,任给$\epsilon>0$，取$M=\frac{1}{\epsilon}$，则当$|x|>M$时有$|\frac{1}{x}-0|=|\frac{1}{x}|<\frac{1}{M}=\epsilon$,课本,证明题,证明极限存在,求M,函数极限的$\epsilon-N$,20210530,![](C:\Users\lalalala\mathProject\华东数学分析\images\证明函数极限存在逻辑.png),,
,第三章,函数极限,3.1、函数极限的概念,例2,课本例题,证明$lim_{x \to -\infty}arctanx=-\frac{\pi}{2}$,任给$\epsilon>0$，取$M=tan(\frac{\pi}{2}-\epsilon)$，则当$|x|>M$时有$|f(x)-A|=<\epsilon$,课本,证明题,证明极限存在,求M,函数极限的$\epsilon-N$,20210530,![](C:\Users\lalalala\mathProject\华东数学分析\images\证明函数极限存在逻辑.png),$tan(atan(x)) = x$,
,第三章,函数极限,3.1、函数极限的概念,例2,课本例题,证明$lim_{x \to +\infty}arctanx=\frac{\pi}{2}$,任给$\epsilon>0$，取$M=tan(\frac{\pi}{2}-\epsilon)$，则当$|x|>M$时有$|f(x)-A|=<\epsilon$,课本,证明题,证明极限存在,求M,函数极限的$\epsilon-N$,20210531,![](C:\Users\lalalala\mathProject\华东数学分析\images\证明函数极限存在逻辑.png),,
,第三章,函数极限,3.1、函数极限的概念,例2,课本例题,证明$lim_{x \to \infty}arctanx$极限不存在,若$lim_{x \to \infty}f(x)=A$ 充要条件为$lim_{x \to +\infty}f(x)=lim_{x \to -\infty}f(x)=A$,课本,证明题,证明极限存在,极限存在问题,不考的吧,20210531,,趋于无穷极限存在要求正负无穷极限存在且相等,
,第三章,函数极限,3.1、函数极限的概念,例3,课本例题,设$f(x)=\frac{x^2-4}{x-2}$，证明$lim_{x \to 2}f(x)=4$,任给$\epsilon>0$，取$\delta=\epsilon$，则当$|x-a|<\delta$时有$|f(x)-A|=<\epsilon$,课本,证明题,证明极限存在,求delta,函数极限的$\epsilon-delta$,20210531,,,
,第三章,函数极限,3.1、函数极限的概念,例4(1),课本例题,证明$lim_{x \to x_0}sin(x)=sinx_0$,任给$\epsilon>0$，取$\delta=\epsilon$，则当$|x-a|<\delta$时有$|f(x)-A|=<\epsilon$,课本,证明题,证明极限存在,求delta,函数极限的$\epsilon-delta$,20210601,,$sin(x)-sin(y) =2cos(\frac{x+y}{2})sin(\frac{x-y}{2})$，|sinx|<|x|,
,第三章,函数极限,3.1、函数极限的概念,例4(2),课本例题,暂放,暂放,课本,证明题,,,,,,,
,第三章,函数极限,3.1、函数极限的概念,例5,课本例题,证明$lim_{x \to 1}\frac{x^2-1}{2x^2-x-1}=\frac{2}{3}$,"任给$\epsilon>0$，取$\delta=min{1,3\epsilon}$，则当$|x-a|<\delta$时有$|f(x)-A|=<\epsilon$",课本,证明题,证明极限存在,适当缩放法,函数极限的$\epsilon-delta$,20210601,,限制|x-1|<1,
,第三章,函数极限,3.1、函数极限的概念,例6,课本例题,"证明$lim_{x \to x_0}\sqrt{1-x^2} = \sqrt{1-x_0^2},|x_0|<1$",任给$\epsilon>0$，取$\delta=\frac{\sqrt{1-x_0^2}}{2}\epsilon$，则当$|x-a|<\delta$时有$|f(x)-A|=<\epsilon$,课本,证明题,证明极限存在,适当缩放法,函数极限的$\epsilon-delta$,20210601,,$\sqrt{1-x^2}-\sqrt{1-y^2} = \frac{y^2-x^2}{\sqrt{1-x^2}+\sqrt{1-y^2}}$，$(1-x)^2 \leq 2(1-x)$,
,第三章,函数极限,3.1、函数极限的概念,例7,课本例题,讨论函数$\sqrt{1-x^2}$在定义区间$\pm 1$处的单侧极限,任给$\epsilon>0$，取$\delta=\frac{\epsilon^2}{2}$，则当$|x-a|<\delta$时有$|f(x)-A|=<\epsilon$,课本,证明题,证明极限存在,单侧极限存在,函数极限的$\epsilon-delta$,20210601,,$(1-x)^2 \leq 2(1-x)$,
,第三章,函数极限,3.2、函数极限的性质,例1,课本例题,求$\lim_{x \to 0}x[\frac{1}{x}]$,1,课本,计算题,计算函数极限,迫敛性,函数极限的计算,20210601,,$1-x <x[\frac{1}{x}] \leq 1$,
,第三章,函数极限,3.2、函数极限的性质,例2,课本例题,求$\lim_{x \to \frac{\pi}{4}}(xtanx-1)$,$\frac{\pi}{4}-1$,课本,计算题,计算函数极限,四则运算,函数极限的计算,20210601,,,
,第三章,函数极限,3.2、函数极限的性质,例3,课本例题,求极限$lim_{x \to 1}\frac{1+x+...+x^n-n-1}{x-1}$,暂放,课本,计算题,计算函数极限,四则运算,函数极限的计算,20210601,,$(x^k-1)=(x^{k-1}+...+1)(x-1)$,
,第三章,函数极限,3.2、函数极限的性质,例4,课本例题,证明$lim_{x \to 0}a^x = 1(a>1)$,"任给$\epsilon>0$，取$\delta =min(log_a(1+\epsilon),-log_a(1-\epsilon))$，则当$|x-a|<\delta$时有$|f(x)-A|=<\epsilon$",课本,证明题,证明极限存在,求delta,函数极限的$\epsilon-delta$,20210602,,利用对数严格递增性质,
,第三章,函数极限,3.3、函数极限存在的条件,例1,课本例题,证明$lim_{x \to 0}sin(\frac{1}{x})$不存在,"取$x'=\frac{1}{n\pi},x''=\frac{1}{2n\pi + \frac{\pi}{2}}$，sinx'=0,sinx''=1,由归结原理可知极限不存在",课本,证明题,证明极限存在,归结原理,计算极限,20210602,,,
